"NumeroExpedient","CodiDistricte","DiaSetmana","Any","MesAny","NomMes","DiaMes","HoraDia","NumeroMorts","NumeroLesionatsLleus","NumeroLesionatsGreus","NumeroVictimes","NumeroVehiclesImplicats","CoordenadaUTM_X","CoordenadaUTM_Y"
"2014S003933","10","Dc",2014,5,"Maig",28,14,0,1,0,1,2,432625,4583978
"2014S001788","10","Dm",2014,3,"Marc",11,13,0,1,0,1,2,432299,4583321
"2014S008420","10","Dl",2014,11,"Novembre",17,8,0,1,0,1,2,432172,4583003
"2014S000579","10","Dv",2014,1,"Gener",24,17,0,0,0,0,1,432634,4583378
"2014S001334","10","Ds",2014,2,"Febrer",22,18,0,3,0,3,2,431986,4582649
"2014S003076","10","Ds",2014,4,"Abril",26,20,0,1,0,1,2,432154,4583704
"2014S003345","10","Dc",2014,5,"Maig",7,9,0,1,0,1,2,432154,4583704
"2014S008885","10","Dc",2014,12,"Desembre",3,10,0,1,0,1,2,432140,4582865
"2014S000295","10","Dm",2014,1,"Gener",14,9,0,1,0,1,2,432161,4583283
"2014S003038","10","Dv",2014,4,"Abril",25,14,0,1,0,1,2,432548,4582572
"2014S007078","10","Dj",2014,10,"Octubre",2,17,0,1,0,1,2,433011,4583010
"2014S008876","10","Dm",2014,12,"Desembre",2,21,0,1,0,1,2,433011,4583010
"2014S003767","10","Dj",2014,5,"Maig",22,19,0,2,0,2,2,432911,4582301
"2014S005670","1","Dv",2014,8,"Agost",1,10,0,1,0,1,2,431071,4581201
"2014S005762","10","Dm",2014,8,"Agost",5,16,0,2,0,2,2,432784,4582533
"2014S005309","10","Dj",2014,7,"Juliol",17,18,0,1,0,1,2,432784,4582533
"2014S002300","10","Dv",2014,3,"Marc",28,20,0,1,0,1,2,433190,4582603
"2014S006758","1","Ds",2014,9,"Setembre",20,12,0,1,0,1,2,431228,4581110
"2014S000368","10","Dv",2014,1,"Gener",17,4,0,0,0,0,2,433495,4582834
"2014S001965","10","Dl",2014,3,"Marc",17,10,0,1,0,1,2,433406,4582829
"2014S001101","10","Dc",2014,2,"Febrer",12,19,0,1,0,1,2,433114,4582556
"2014S001745","10","Dg",2014,3,"Marc",9,16,0,0,0,0,2,433146,4582309
"2014S001915","1","Dv",2014,3,"Marc",14,16,0,1,0,1,2,430394,4581074
"2014S003611","1","Dv",2014,5,"Maig",16,16,0,1,0,1,2,431214,4580892
"2014S000473","1","Dm",2014,1,"Gener",21,13,0,1,0,1,1,430696,4581218
"2014S006868","1","Dj",2014,9,"Setembre",25,7,0,0,1,1,1,430505,4581450
